135;Young Boys;یانگ بویز;183;
136;Red Bull Salzburg;سالزبورگ;14;
137;Sparta Prague;اسپارتاپراگ;56;
138;Red Star Belgrade;ستاره سرخ بلگراد;165;
139;Slovan Bratislava;اسلوان براتیسلاو ;169;
140;Sturm Graz;اشتورم گراتس;14;
141;Al Hilal;الهلال;162;
142;Al Nassr;النصر;162;
143;Al Ahli;الاهلی;162;
144;Al Sadd;السد;154;
145;Al Rayyan;الریان;154;
146;Al Gharafa;الغرافه;154;
147;Al Ain;العین;200;
148;Al Wasl;الوصل;200;
149;Pakhtakor;پاختاکور;204;
150;Al Shorta;الشرطه;94;
151;Ulsan Hyundai FC;اولسان هیوندای;103;
152;Pohang Steelers;پوهانگ استیلرز;103;
153;Gwangju;گوانگجو;103;
154;Vissel Kobe;ویسل کوبه;98;
155;Yokohama F. Marinos;یوکوهاما مارینوس;98;
156;Kawasaki Frontale;کاوازاکی فرونتال;98;
157;Shanghai Port;شانگهای پورت;43;
158;Shandong Taishan;شاندونگ;43;
159;Shanghai Shenhua;شانگهای شنهوا;43;
160;Buriram United;بوریرام یونایتد;188;
161;Central Coast Mariners;سنترال کوست مارینرز;13;
162;Johor Darul Ta'zim;جوهور دارالتعظیم;119;
